Team;country_name_fr;Trigramme;Group;Host;Winner;Year;pourcentage_victoire;but_mis;but_enc
Uruguay;Uruguay;URU;3;1;1;1930;25.0;1.0;1.4
Argentina;Argentine;ARG;1;0;0;1930;55.560001373291016;1.9;0.7
United States;États-Unis;USA;4;0;0;1930;0.0;3.0;4.0
Yugoslavia;Yougoslavie;SRB;2;0;0;1930;41.66999816894531;2.4;2.1
Chile;Chili;CHI;1;0;0;1930;;;
Brazil;Brésil;BRA;2;0;0;1930;100.0;3.7;2.0
France;France;FRA;1;0;0;1930;21.43000030517578;1.5;2.9
Romania;Roumanie;ROU;3;0;0;1930;57.13999938964844;3.1;2.0
Paraguay;Paraguay;PAR;4;0;0;1930;66.66999816894531;3.0;1.3
Peru;Pérou;PER;3;0;0;1930;0.0;0.3;4.0
Belgium;Belgique;BEL;4;0;0;1930;38.459999084472656;2.2;2.2
Bolivia;Bolivie;BOL;2;0;0;1930;;;
Mexico;Mexique;MEX;1;0;0;1930;;;
