pays,annee,pourcentage_victoire,but_mis,but_enc
Brazil,1930,100.0,3.7,2.0
Brazil,1931,100.0,3.2,1.5
Brazil,1932,100.0,2.0,0.5
Brazil,1933,100.0,2.0,1.0
Brazil,1934,0.0,2.3,4.0
Brazil,1935,0.0,2.3,4.0
Brazil,1936,100.0,3.0,2.0
Brazil,1937,66.67,2.8,1.8
Brazil,1938,60.0,2.8,1.8
Brazil,1939,50.0,2.0,3.5
Brazil,1940,22.22,1.7,3.3
Brazil,1941,14.29,1.6,3.3
Brazil,1942,50.0,2.5,1.2
Brazil,1943,50.0,2.5,1.2
Brazil,1944,100.0,5.0,0.5
Brazil,1945,81.82,3.7,1.2
Brazil,1946,66.67,3.1,1.5
Brazil,1947,50.0,2.4,1.6
Brazil,1948,25.0,1.5,1.8
Brazil,1949,70.0,4.9,1.2
Brazil,1950,75.0,4.8,1.3
Brazil,1951,50.0,2.8,2.2
Brazil,1952,80.0,2.8,0.4
Brazil,1953,66.67,2.6,0.9
Brazil,1954,72.73,2.3,0.9
Brazil,1955,75.0,2.1,0.8
Brazil,1956,57.14,1.8,1.0
Brazil,1957,57.89,2.0,1.0
Brazil,1958,61.11,2.6,0.9
Brazil,1959,72.22,2.7,1.1
Brazil,1960,70.0,2.6,1.3
Brazil,1961,76.19,2.5,1.2
Brazil,1962,100.0,2.7,0.7
Brazil,1963,54.17,2.2,1.5
Brazil,1964,42.86,2.0,1.9
Brazil,1965,69.23,2.6,0.8
Brazil,1966,70.83,2.2,0.8
Brazil,1967,61.11,1.8,0.9
Brazil,1968,58.33,2.3,1.2
Brazil,1969,75.86,2.8,1.1
Brazil,1970,88.24,2.8,0.7
Brazil,1971,57.14,1.8,0.9
Brazil,1972,54.55,1.5,0.7
Brazil,1973,73.33,1.8,0.7
Brazil,1974,68.42,1.7,0.5
Brazil,1975,75.0,1.9,0.4
Brazil,1976,88.24,2.4,0.6
Brazil,1977,69.57,2.1,0.5
Brazil,1978,55.56,1.8,0.4
Brazil,1979,53.85,2.2,0.9
Brazil,1980,62.5,2.4,0.9
Brazil,1981,75.0,2.2,0.6
Brazil,1982,72.73,2.4,0.6
Brazil,1983,45.0,1.8,0.8
Brazil,1984,35.29,1.3,0.8
Brazil,1985,50.0,1.2,0.8
Brazil,1986,55.56,1.7,0.9
Brazil,1987,58.82,2.2,1.1
Brazil,1988,64.71,2.0,0.8
Brazil,1989,66.67,1.7,0.5
Brazil,1990,55.17,1.5,0.7
Brazil,1991,40.0,1.5,1.2
Brazil,1992,58.33,2.0,1.0
Brazil,1993,51.61,2.0,0.8
Brazil,1994,51.85,2.2,0.8
Brazil,1995,82.61,2.5,0.5
Brazil,1996,78.57,2.4,0.7
Brazil,1997,80.0,2.9,0.9
Brazil,1998,74.29,2.7,0.7
Brazil,1999,66.67,2.3,0.8
Brazil,2000,68.57,2.5,0.8
Brazil,2001,48.48,1.8,0.9
Brazil,2002,51.72,1.8,0.9
Brazil,2003,57.69,1.8,0.8
Brazil,2004,47.22,1.7,0.8
Brazil,2005,54.29,2.5,0.9
Brazil,2006,69.57,2.7,0.7
Brazil,2007,68.0,2.1,0.6
Brazil,2008,58.62,1.9,0.7
Brazil,2009,71.43,2.0,0.7
Brazil,2010,83.33,2.3,0.6
Brazil,2011,65.22,1.7,0.5
Brazil,2012,62.07,2.0,0.8
Brazil,2013,68.75,2.7,0.9
Brazil,2014,76.92,2.7,0.6
Brazil,2015,80.0,2.1,0.5
Brazil,2016,66.67,2.0,0.7
Brazil,2017,63.64,2.2,0.5
Brazil,2018,80.95,2.0,0.2
Brazil,2019,69.23,2.1,0.3
Brazil,2020,60.0,2.2,0.6
Brazil,2021,80.0,2.0,0.4
Brazil,2022,77.27,2.1,0.3
Germany,1930,54.55,3.1,1.6
Germany,1931,23.08,1.8,2.5
Germany,1932,33.33,1.5,2.1
Germany,1933,54.55,2.5,1.5
Germany,1934,70.0,3.9,1.5
Germany,1935,80.95,3.3,1.2
Germany,1936,65.38,2.7,1.4
Germany,1937,70.0,2.8,1.2
Germany,1938,72.22,2.9,1.0
Germany,1939,54.55,2.5,1.7
Germany,1940,56.0,3.1,1.7
Germany,1941,57.89,3.8,1.5
Germany,1942,68.42,3.7,1.4
Germany,1943,70.0,3.6,1.5
Germany,1950,100.0,1.0,0.0
Germany,1951,71.43,2.1,1.1
